0.0,"(103, 109, 101)"
1.0,"(17, 27, 28)"
0.0,"(176, 182, 181)"
1.0,"(47, 51, 47)"
0.0,"(90, 120, 142)"
1.0,"(51, 74, 90)"
0.0,"(184, 187, 181)"
1.0,"(85, 87, 85)"
0.0,"(92, 89, 90)"
1.0,"(181, 163, 122)"
0.0,"(67, 98, 183)"
1.0,"(27, 36, 42)"
0.0,"(76, 79, 89)"
1.0,"(133, 135, 139)"
0.0,"(58, 68, 69)"
1.0,"(35, 37, 26)"
0.0,"(55, 70, 66)"
1.0,"(29, 32, 28)"
0.0,"(110, 117, 119)"
1.0,"(63, 65, 47)"
0.0,"(159, 173, 188)"
1.0,"(103, 110, 111)"
0.0,"(13, 21, 31)"
1.0,"(134, 132, 117)"
0.0,"(180, 205, 198)"
1.0,"(26, 37, 47)"
0.0,"(118, 103, 72)"
1.0,"(84, 81, 62)"
0.0,"(149, 163, 195)"
1.0,"(25, 40, 48)"
0.0,"(26, 15, 14)"
1.0,"(54, 62, 73)"
0.0,"(66, 68, 70)"
1.0,"(37, 44, 50)"
0.0,"(56, 63, 53)"
1.0,"(150, 151, 142)"
0.0,"(114, 105, 83)"
1.0,"(17, 22, 12)"
0.0,"(40, 45, 45)"
1.0,"(82, 77, 65)"
0.0,"(207, 213, 210)"
1.0,"(32, 37, 44)"
0.0,"(48, 49, 49)"
1.0,"(43, 47, 40)"
0.0,"(119, 134, 148)"
1.0,"(36, 42, 53)"
0.0,"(101, 119, 137)"
1.0,"(41, 53, 59)"
0.0,"(213, 217, 196)"
1.0,"(68, 104, 149)"
0.0,"(65, 53, 39)"
1.0,"(100, 98, 82)"
0.0,"(231, 241, 238)"
1.0,"(45, 53, 55)"
0.0,"(188, 194, 186)"
1.0,"(59, 78, 101)"
0.0,"(55, 66, 70)"
1.0,"(77, 77, 63)"
0.0,"(145, 145, 132)"
1.0,"(178, 168, 149)"
0.0,"(213, 215, 212)"
1.0,"(61, 105, 140)"
0.0,"(36, 34, 37)"
1.0,"(37, 42, 41)"
0.0,"(87, 94, 102)"
1.0,"(35, 45, 71)"
0.0,"(145, 165, 178)"
1.0,"(41, 114, 103)"
0.0,"(216, 220, 219)"
1.0,"(149, 142, 126)"
0.0,"(107, 172, 187)"
1.0,"(10, 17, 15)"
0.0,"(84, 89, 95)"
1.0,"(42, 50, 56)"
0.0,"(13, 22, 32)"
1.0,"(85, 86, 74)"
0.0,"(52, 69, 86)"
1.0,"(46, 47, 36)"
0.0,"(184, 187, 173)"
1.0,"(64, 64, 57)"
0.0,"(108, 136, 134)"
1.0,"(70, 92, 102)"
0.0,"(193, 194, 180)"
1.0,"(39, 36, 27)"
0.0,"(35, 35, 34)"
1.0,"(87, 82, 70)"
0.0,"(134, 130, 108)"
1.0,"(100, 100, 86)"
0.0,"(67, 69, 55)"
1.0,"(44, 46, 32)"
0.0,"(158, 170, 166)"
1.0,"(162, 19, 28)"
0.0,"(14, 23, 20)"
1.0,"(24, 31, 29)"
0.0,"(206, 213, 203)"
1.0,"(102, 147, 179)"
0.0,"(49, 51, 40)"
1.0,"(70, 75, 68)"
0.0,"(48, 54, 46)"
1.0,"(153, 159, 153)"
0.0,"(76, 87, 113)"
1.0,"(78, 105, 129)"
0.0,"(35, 52, 61)"
1.0,"(15, 25, 30)"
0.0,"(45, 47, 39)"
1.0,"(53, 57, 50)"
0.0,"(152, 173, 176)"
1.0,"(40, 61, 73)"
0.0,"(49, 56, 62)"
1.0,"(38, 42, 40)"
0.0,"(87, 92, 100)"
1.0,"(11, 17, 20)"
0.0,"(82, 86, 85)"
1.0,"(63, 70, 71)"
0.0,"(172, 165, 142)"
1.0,"(94, 100, 97)"
0.0,"(68, 70, 71)"
1.0,"(63, 67, 69)"
0.0,"(40, 47, 75)"
1.0,"(156, 134, 110)"
0.0,"(119, 119, 106)"
1.0,"(138, 140, 130)"
0.0,"(196, 189, 172)"
1.0,"(30, 32, 22)"
0.0,"(165, 144, 94)"
1.0,"(98, 103, 92)"
0.0,"(77, 102, 104)"
1.0,"(173, 180, 179)"
