0.0,"(56, 47, 30)"
1.0,"(47, 52, 48)"
0.0,"(150, 194, 191)"
1.0,"(57, 46, 35)"
0.0,"(117, 138, 112)"
1.0,"(145, 160, 151)"
0.0,"(106, 109, 111)"
1.0,"(44, 48, 47)"
0.0,"(187, 187, 201)"
1.0,"(22, 28, 22)"
0.0,"(183, 179, 163)"
1.0,"(162, 159, 141)"
0.0,"(47, 49, 57)"
1.0,"(81, 81, 78)"
0.0,"(46, 56, 62)"
1.0,"(42, 51, 57)"
0.0,"(66, 35, 43)"
1.0,"(74, 55, 41)"
0.0,"(206, 216, 230)"
1.0,"(73, 94, 104)"
0.0,"(9, 17, 12)"
1.0,"(99, 107, 83)"
0.0,"(32, 42, 42)"
1.0,"(60, 87, 107)"
0.0,"(0, 128, 0)"
0.0,"(143, 148, 154)"
1.0,"(41, 50, 46)"
0.0,"(131, 98, 78)"
1.0,"(19, 20, 12)"
0.0,"(114, 178, 231)"
1.0,"(57, 62, 55)"
0.0,"(22, 29, 32)"
1.0,"(38, 40, 36)"
0.0,"(67, 59, 51)"
1.0,"(128, 126, 127)"
0.0,"(199, 85, 70)"
1.0,"(95, 93, 93)"
0.0,"(46, 48, 39)"
1.0,"(87, 92, 80)"
0.0,"(52, 53, 64)"
1.0,"(96, 96, 91)"
0.0,"(14, 23, 21)"
1.0,"(78, 99, 113)"
0.0,"(214, 52, 25)"
1.0,"(28, 33, 21)"
0.0,"(215, 219, 218)"
1.0,"(104, 98, 104)"
0.0,"(182, 186, 82)"
1.0,"(56, 74, 45)"
0.0,"(59, 174, 230)"
1.0,"(55, 90, 123)"
0.0,"(39, 44, 55)"
1.0,"(53, 58, 68)"
0.0,"(203, 209, 205)"
1.0,"(76, 84, 87)"
0.0,"(47, 43, 70)"
1.0,"(107, 113, 111)"
0.0,"(119, 138, 176)"
1.0,"(86, 88, 98)"
0.0,"(57, 55, 41)"
1.0,"(34, 38, 31)"
0.0,"(84, 90, 91)"
1.0,"(50, 58, 55)"
0.0,"(102, 129, 139)"
1.0,"(91, 98, 79)"
0.0,"(11, 24, 16)"
1.0,"(136, 139, 128)"
0.0,"(18, 23, 20)"
1.0,"(26, 30, 29)"
0.0,"(225, 223, 200)"
1.0,"(62, 61, 57)"
0.0,"(128, 171, 191)"
1.0,"(70, 72, 88)"
0.0,"(11, 16, 21)"
1.0,"(82, 91, 97)"
0.0,"(93, 117, 140)"
1.0,"(124, 123, 121)"
0.0,"(101, 92, 79)"
1.0,"(74, 69, 50)"
0.0,"(44, 56, 62)"
1.0,"(30, 38, 41)"
0.0,"(210, 86, 16)"
1.0,"(141, 130, 109)"
0.0,"(24, 30, 26)"
1.0,"(106, 110, 102)"
