0.0,"(185, 188, 190)"
1.0,"(97, 98, 88)"
0.0,"(120, 200, 206)"
1.0,"(120, 119, 118)"
0.0,"(163, 161, 155)"
1.0,"(122, 150, 164)"
0.0,"(20, 33, 37)"
1.0,"(32, 43, 46)"
0.0,"(122, 112, 101)"
1.0,"(41, 42, 40)"
0.0,"(24, 32, 22)"
1.0,"(69, 74, 60)"
0.0,"(40, 60, 59)"
1.0,"(19, 36, 33)"
0.0,"(50, 59, 52)"
1.0,"(58, 90, 131)"
0.0,"(129, 134, 145)"
1.0,"(38, 43, 38)"
0.0,"(209, 222, 231)"
1.0,"(34, 44, 67)"
0.0,"(100, 91, 68)"
1.0,"(106, 108, 96)"
0.0,"(110, 110, 93)"
1.0,"(127, 131, 123)"
0.0,"(181, 182, 172)"
1.0,"(105, 107, 101)"
0.0,"(180, 176, 165)"
1.0,"(102, 89, 79)"
0.0,"(113, 38, 38)"
1.0,"(54, 79, 99)"
0.0,"(38, 46, 46)"
1.0,"(55, 59, 59)"
0.0,"(65, 98, 107)"
1.0,"(49, 62, 77)"
0.0,"(152, 138, 110)"
1.0,"(112, 124, 129)"
0.0,"(175, 164, 136)"
1.0,"(123, 138, 140)"
0.0,"(204, 220, 223)"
1.0,"(65, 104, 138)"
0.0,"(28, 42, 49)"
1.0,"(26, 35, 39)"
0.0,"(53, 53, 63)"
1.0,"(70, 72, 80)"
0.0,"(119, 131, 127)"
1.0,"(74, 78, 73)"
0.0,"(172, 152, 121)"
1.0,"(72, 68, 78)"
0.0,"(167, 141, 94)"
1.0,"(146, 111, 82)"
0.0,"(65, 70, 74)"
1.0,"(24, 31, 28)"
0.0,"(47, 52, 58)"
1.0,"(73, 76, 71)"
0.0,"(22, 30, 29)"
1.0,"(84, 91, 85)"
0.0,"(180, 181, 183)"
1.0,"(51, 55, 56)"
0.0,"(101, 64, 34)"
1.0,"(48, 69, 76)"
0.0,"(38, 41, 37)"
1.0,"(20, 29, 29)"
0.0,"(34, 52, 63)"
1.0,"(50, 59, 64)"
0.0,"(29, 32, 37)"
1.0,"(59, 59, 56)"
0.0,"(172, 157, 144)"
1.0,"(59, 71, 83)"
0.0,"(167, 144, 88)"
1.0,"(147, 137, 116)"
0.0,"(201, 203, 186)"
1.0,"(38, 55, 62)"
0.0,"(70, 82, 87)"
1.0,"(64, 77, 78)"
0.0,"(76, 68, 48)"
1.0,"(77, 73, 56)"
0.0,"(41, 53, 58)"
1.0,"(116, 123, 118)"
0.0,"(8, 17, 17)"
1.0,"(21, 39, 79)"
0.0,"(188, 122, 76)"
1.0,"(48, 68, 94)"
0.0,"(202, 181, 149)"
0.0,"(156, 182, 205)"
1.0,"(47, 59, 86)"
0.0,"(19, 24, 21)"
1.0,"(28, 34, 37)"
0.0,"(100, 97, 76)"
1.0,"(72, 70, 55)"
0.0,"(174, 173, 169)"
1.0,"(65, 68, 72)"
0.0,"(105, 105, 105)"
1.0,"(42, 54, 60)"
0.0,"(101, 148, 177)"
1.0,"(50, 65, 76)"
0.0,"(64, 72, 77)"
1.0,"(68, 52, 31)"
0.0,"(36, 132, 103)"
1.0,"(174, 193, 203)"
0.0,"(48, 44, 33)"
1.0,"(92, 118, 133)"
0.0,"(118, 129, 179)"
1.0,"(50, 67, 92)"
0.0,"(196, 186, 162)"
1.0,"(122, 114, 100)"
0.0,"(153, 167, 186)"
1.0,"(10, 19, 20)"
0.0,"(178, 180, 171)"
1.0,"(205, 209, 196)"
0.0,"(114, 176, 229)"
1.0,"(57, 62, 55)"
0.0,"(52, 58, 61)"
1.0,"(33, 40, 43)"
0.0,"(44, 56, 77)"
1.0,"(57, 67, 75)"
0.0,"(169, 179, 191)"
1.0,"(28, 31, 26)"
0.0,"(222, 217, 198)"
1.0,"(68, 70, 65)"
0.0,"(59, 62, 52)"
1.0,"(66, 64, 53)"
0.0,"(58, 62, 56)"
1.0,"(57, 60, 44)"
0.0,"(40, 50, 57)"
1.0,"(101, 106, 90)"
0.0,"(147, 152, 146)"
1.0,"(60, 92, 135)"
0.0,"(65, 74, 74)"
1.0,"(173, 180, 177)"
0.0,"(57, 63, 60)"
1.0,"(28, 35, 25)"
0.0,"(161, 139, 121)"
1.0,"(117, 72, 59)"
0.0,"(73, 78, 67)"
1.0,"(13, 20, 16)"
0.0,"(182, 183, 188)"
1.0,"(46, 54, 65)"
0.0,"(55, 83, 81)"
1.0,"(44, 60, 54)"
0.0,"(69, 74, 77)"
1.0,"(185, 183, 159)"
0.0,"(33, 34, 42)"
1.0,"(82, 80, 87)"
0.0,"(109, 107, 98)"
1.0,"(127, 64, 53)"
0.0,"(36, 100, 66)"
1.0,"(78, 92, 88)"
0.0,"(142, 140, 141)"
1.0,"(87, 73, 58)"
